Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012210,2024-20253625018200,36250,1,12/8/2025 14:09,8200,2024-2025,27628.08
1012205,2024-20253625018101,36250,1,12/8/2025 14:09,8101,2024-2025,21051.78
1012204,2024-20253625018100,36250,1,12/8/2025 14:09,8100,2024-2025,200
1012203,2024-20253625018000,36250,1,12/8/2025 14:09,8000,2024-2025,77418.5
1012196,2024-20253625017145,36250,1,12/8/2025 14:09,7145,2024-2025,26934.77
1012191,2024-20253625017000,36250,1,12/8/2025 14:09,7000,2024-2025,26934.77
1012190,2024-20253625016998,36250,1,12/8/2025 14:09,6998,2024-2025,104048.72
1012186,2024-20253625016388,36250,1,12/8/2025 14:09,6388,2024-2025,5616
1012167,2024-20253625016321,36250,1,12/8/2025 14:09,6321,2024-2025,107.22
1012126,2024-20253625016198,36250,1,12/8/2025 14:09,6198,2024-2025,646861.58
1012125,2024-20253625016189,36250,1,12/8/2025 14:09,6189,2024-2025,14761.72
1012119,2024-20253625016164,36250,1,12/8/2025 14:09,6164,2024-2025,16734.96
1012114,2024-20253625016153,36250,1,12/8/2025 14:09,6153,2024-2025,176510.42
1012113,2024-20253625016152,36250,1,12/8/2025 14:09,6152,2024-2025,536272.13
1012112,2024-20253625016151,36250,1,12/8/2025 14:09,6151,2024-2025,446145.52
1012110,2024-20253625016138,36250,1,12/8/2025 14:09,6138,2024-2025,20691
1012108,2024-20253625016124,36250,1,12/8/2025 14:09,6124,2024-2025,507419.76
1012101,2024-20253625016113,36250,1,12/8/2025 14:09,6113,2024-2025,1774.84
1012100,2024-20253625016112,36250,1,12/8/2025 14:09,6112,2024-2025,-48404.74
1012096,2024-20253625016000,36250,1,12/8/2025 14:09,6000,2024-2025,2428539.13
1012093,2024-20253625015500,36250,1,12/8/2025 14:09,5500,2024-2025,43.29
1012088,2024-20253625015000,36250,1,12/8/2025 14:09,5000,2024-2025,43.29
1012087,2024-20253625014399,36250,1,12/8/2025 14:09,4399,2024-2025,20888.5
1012077,2024-20253625014199,36250,1,12/8/2025 14:09,4199,2024-2025,671510.59
