Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
902601,2023-20243101516311,31015,1,11/19/2024 4:47:42 PM,6311,2023-2024,817809.61
902592,2023-20243101516268,31015,1,11/19/2024 4:47:42 PM,6268,2023-2024,18724
902569,2023-20243101516210,31015,1,11/19/2024 4:47:42 PM,6210,2023-2024,166280.4
902566,2023-20243101516198,31015,1,11/19/2024 4:47:42 PM,6198,2023-2024,5711444.32
902559,2023-20243101516164,31015,1,11/19/2024 4:47:42 PM,6164,2023-2024,641028.36
902553,2023-20243101516152,31015,1,11/19/2024 4:47:42 PM,6152,2023-2024,678665.12
902552,2023-20243101516151,31015,1,11/19/2024 4:47:42 PM,6151,2023-2024,3785717.03
902550,2023-20243101516138,31015,1,11/19/2024 4:47:42 PM,6138,2023-2024,192003
902548,2023-20243101516124,31015,1,11/19/2024 4:47:42 PM,6124,2023-2024,4894449.94
902541,2023-20243101516113,31015,1,11/19/2024 4:47:42 PM,6113,2023-2024,2877167.4
902538,2023-20243101516100,31015,1,11/19/2024 4:47:42 PM,6100,2023-2024,32300.12
902536,2023-20243101516000,31015,1,11/19/2024 4:47:42 PM,6000,2023-2024,21187883.8
902534,2023-20243101515500,31015,1,11/19/2024 4:47:42 PM,5500,2023-2024,47937.23
902529,2023-20243101515000,31015,1,11/19/2024 4:47:42 PM,5000,2023-2024,47937.23
902524,2023-20243101514358,31015,1,11/19/2024 4:47:42 PM,4358,2023-2024,74756.02
902519,2023-20243101514300,31015,1,11/19/2024 4:47:42 PM,4300,2023-2024,13596.1
902518,2023-20243101514199,31015,1,11/19/2024 4:47:42 PM,4199,2023-2024,17179187.35
902517,2023-20243101514198,31015,1,11/19/2024 4:47:42 PM,4198,2023-2024,718791.54
902515,2023-20243101514174,31015,1,11/19/2024 4:47:42 PM,4174,2023-2024,695194.25
902514,2023-20243101514165,31015,1,11/19/2024 4:47:42 PM,4165,2023-2024,7251599.7
902512,2023-20243101514158,31015,1,11/19/2024 4:47:42 PM,4158,2023-2024,1767642.41
902510,2023-20243101514155,31015,1,11/19/2024 4:47:42 PM,4155,2023-2024,6470470.13
